user,messages,degree,betweenness,closeness,pagerank,in_degree,out_degree
Екатерина Медведева,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Aleksandr Saranchuk,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Екатерина Матусевич,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Evgeniy A.,1,0.007692307692307693,0.0,0.0,0.0023120643726148044,0,1
Денис Язбарян,1,0.0,0.0,0.0,0.0023120643726148044,0,0
DATA ALUMNI PRACTICUM,8,0.3384615384615385,0.0,0.0,0.0023120643726148044,0,44
Miliausha,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Игорь,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Fanis,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Alex Kosenko,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Stanislav,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Tim Pankratov,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Olga Mankevich,2,0.0,0.0,0.0,0.0023120643726148044,0,0
Иван Исаев,2,0.0,0.0,0.0,0.0023120643726148044,0,0
Andrei Sukharevsky,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Кирилл,2,0.0,0.0,0.0,0.0023120643726148044,0,0
Леонид Усепян,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Александр Nov,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Olga Varavina,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Владимир Березин,1,0.023076923076923078,0.0,0.0,0.0023120643726148044,0,3
Яна,1,0.007692307692307693,0.0,0.0,0.0023120643726148044,0,1
Мария Ишина,3,0.015384615384615385,0.0,0.0,0.0023120643726148044,0,2
Андрей Тимофеев,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Sergey Unknown,1,0.0,0.0,0.0,0.0023120643726148044,0,0
nd,1,0.0,0.0,0.0,0.0023120643726148044,0,0
Oleg Mikheev,1,0.0,0.0,0.0,0.0023120643726148044,0,0
